subscription_id,account_id,plan_name,plan_type,billing_cycle_start_date,billing_cycle_end_date,status,is_trial,trial_start_date,trial_end_date,conversion_flag,renewal_count,cancel_reason,plan_start_date
sub_134171d34593,acc_5d49497b349c,pro,monthly,2025-06-24,2025-07-24,active,True,2025-06-09,2025-06-23,True,4,,2025-06-24
sub_e796c752b58b,acc_5d49497b349c,ultimate,monthly,2025-08-08,2025-09-07,active,False,,,False,2,,2025-08-08
sub_db9f260841f3,acc_5d49497b349c,basic,monthly,2025-09-10,2025-10-10,active,False,,,False,1,,2025-09-10
sub_47d3f8cc6cb7,acc_f4a28f6b686c,ultimate,monthly,2025-07-30,2025-09-10,cancelled,True,2025-07-15,2025-07-29,True,0,too_expensive,2025-07-30
sub_3d2887132b4a,acc_8cf3be743261,ultimate,annual,2025-06-17,2026-06-17,active,True,2025-06-02,2025-06-16,True,0,,2025-06-17
sub_b08d3879396d,acc_8dddca12d227,free,free,2025-06-16,,active,False,,,False,0,,2025-06-16
sub_6944e13d6679,acc_5ebe796633c8,free,free,2025-06-13,,active,False,,,False,0,,2025-06-13
sub_2ae3b35421e2,acc_df3ef495feb1,free,free,2025-06-26,,cancelled,True,2025-06-26,2025-07-10,False,0,missing_features,2025-06-26
sub_eb661a5091c6,acc_2785cbdb491f,free,Free,2025-07-30,,active,True,2025-07-30,2025-08-13,False,0,,2025-07-30
sub_7baaf6c14911,acc_2da4bc8814d1,free,free,2025-07-25,,active,True,2025-07-25,2025-08-08,False,0,,2025-07-25
sub_e51e672be020,acc_2da4bc8814d1,basic,annual,2025-09-04,2026/09/04,active,False,,,False,0,,2025-09-04
sub_d8508ee948ab,acc_52e3cd0bae2c,free,free,2025-07-21,,active,True,2025-07-21,2025-08-04,False,0,,2025-07-21
sub_e1d8e39dd0a6,acc_52e3cd0bae2c,basic,monthly,2025-08-22,2025-09-21,active,False,,,False,2,,2025-08-22
sub_d46a568cf53e,acc_52e3cd0bae2c,basic,monthly,2025-10-06,2025-11-05,active,False,,,False,0,,2025-10-06
sub_23af616aab5c,acc_264a22a679cd,free,free,2025-06-04,,active,True,2025-06-04,2025-06-18,False,0,,2025-06-04
sub_e69ac9463c02,acc_264a22a679cd,ultimate,monthly,2025-07-08,2025-08-07,active,False,,,False,3,,2025-07-08
sub_92b44b95d431,acc_21c78ca26dc8,free,free,2025/07/03,,cancelled,True,2025-07-03,2025-07-17,False,0,no_longer_needed,2025-07-03
sub_2b796398e4b7,acc_02af0e8cbe21,free,free,2025-06-03,,active,False,,,False,0,,2025-06-03
sub_76ed22e0e802,acc_02af0e8cbe21,basic,annual,2025-07-08,2026-07-08,active,False,,,False,0,,2025-07-08
sub_f5476a41b48c,acc_4177f4997cc5,free,free,2025-06-09,,active,False,,,False,0,,2025-06-09
sub_1c506f36df76,acc_4177f4997cc5,basic,monthly,2025-07-23,2025-08-22,active,False,,,False,3,,2025-07-23
sub_e95aa1e492b0,acc_4177f4997cc5,pro,annual,2025-08-26,2026-08-26,active,False,,,False,0,,2025-08-26
sub_924f164578e2,acc_1335b4cffd36,free,free,2025-07-05,,cancelled,True,2025-07-05,2025-07-19,False,0,missing_features,2025-07-05
sub_e8998474a4f3,acc_1335b4cffd36,pro,annual,2025-08-14,2026-08-14,active,False,,,False,0,,2025-08-14
sub_7bf00b2a993e,acc_60a51d8a8a9d,free,free,2025-06-20,,active,False,,,False,0,,2025/06/20
sub_95d0aada306a,acc_60a51d8a8a9d,pro,annual,2025-07-31,2026-07-31,active,False,,,False,0,,2025-07-31
sub_da0c9a848f44,acc_42a818bbe50c,free,free,2025-06-17,,active,True,2025-06-17,2025-07-01,False,0,,2025-06-17
sub_106b0d810181,acc_97e42d3219d6,free,free,2025-07-03,,active,False,,,False,0,,2025-07-03
sub_93aff8bc5149,acc_97e42d3219d6,ultimate,annual,2025-08-16,2026-08-16,active,False,,,False,0,,2025-08-16
sub_4ce1e8635c0c,acc_29df969cba0c,basic,monthly,2025-07-02,2025-08-01,active,True,2025-06-17,2025-07-01,True,4,,2025-07-02
sub_ab682b69ae81,acc_29df969cba0c,pro,annual,2025-08-08,2026-08-08,active,False,,,False,0,,2025-08-08
sub_6aaf7296cbd2,acc_96d3eb07c344,basic,monthly,2025-08-09,2025-09-23,cancelled,True,2025-07-24,2025-08-07,True,0,too_expensive,2025-08-09
sub_81e405c327f0,acc_0d88c4742617,free,free,2025-06-14,,active,True,2025-06-14,2025-06-28,False,0,,2025-06-14
sub_3121ecdb9934,acc_0d88c4742617,pro,monthly,2025-07-15,2025-08-06,cancelled,False,,,False,0,missing_features,2025-07-15
sub_1571875768e5,acc_00477c2a82f8,free,free,2025-07-26,,active,True,2025-07-26,2025-08-09,False,0,,2025-07-26
sub_daf2c3efe66b,acc_e14964f0f00c,free,free,2025-07-26,,cancelled,True,2025-07-26,2025-08-09,False,0,,2025-07-26
sub_24bd5b80a77f,acc_35cb9de016c8,free,free,2025-06-30,,active,False,,,False,0,,2025-06-30
sub_175dbd55f7f0,acc_97bc8a8a6119,free,free,2025-06-18,,cancelled,True,2025-06-18,2025-07-02,False,0,switching_product,2025-06-18
sub_ab42490ddf77,acc_97bc8a8a6119,basic,annual,2025-07-22,2025-09-20,cancelled,False,,,False,0,no_longer_needed,2025-07-22
sub_e3added98176,acc_c1594018eaa5,free,free,2025-06-17,,active,False,,,False,0,,2025-06-17
sub_3a62b487df74,acc_89fafce6e700,free,free,2025-06-17,,cancelled,True,2025-06-17,2025-07-01,False,0,trial_ended,2025-06-17
sub_118e28021718,acc_89fafce6e700,PRO,annual,2025-07-21,2026-07-21,active,False,,,False,0,,2025-07-21
sub_608495d9ef4f,acc_d9aba706993f,Free,free,2025-06-05,,active,True,2025-06-05,2025-06-19,False,0,,2025-06-05
sub_8d5882cbc1b9,acc_64ee61877335,free,free,2025-07-15,,active,True,2025-07-15,2025-07-29,False,0,,2025-07-15
sub_25a7b7f7233a,acc_64ee61877335,pro,annual,2025-08-29,2025-09-23,cancelled,False,,,False,0,missing_features,2025-08-29
sub_78473481a1da,acc_84f849e7a1da,free,free,2025-07-24,,active,True,2025-07-24,2025-08-07,False,0,,2025-07-24
sub_88d9747a9bb3,acc_84f849e7a1da,basic,annual,2025-08-27,2026/08/27,active,False,,,False,0,,2025-08-27
sub_07708b25e1f8,acc_0cdf4c585e01,free,free,2025/07/21,,active,False,,,False,0,,2025-07-21
sub_4b647b8a7653,acc_b05d17769442,basic,monthly,2025-06-30,2025-07-30,active,True,2025-06-15,2025-06-29,True,4,,2025-06-30
sub_78045694ca27,acc_e37168684d8c,free,Free,2025-07-16,,active,False,,,False,0,,2025-07-16
sub_312ef688a2c8,acc_e37168684d8c,basic,monthly,2025-08-25,2025-09-24,active,False,,,False,2,,2025-08-25
sub_0c65cb523b51,acc_df474ee5fd58,free,free,2025-06-15,,active,False,,,False,0,,2025-06-15
sub_b81037ed16a5,acc_cefa91903649,BASIC,monthly,2025/07/20,2025-08-19,active,True,2025-07-04,2025-07-18,True,3,,2025-07-20
sub_85e3fafd6527,acc_476954a12228,free,free,2025-07-28,,active,True,2025-07-28,2025-08-11,False,0,,2025-07-28
sub_72bff6ed5a03,acc_476954a12228,basic,annual,2025/09/11,2026-09-11,active,False,,,False,0,,2025-09-11
sub_c7d5198365a2,acc_bf1042661753,free,free,2025-06-18,,cancelled,True,2025-06-18,2025-07-02,False,0,too_expensive,2025-06-18
sub_f4dfc36d234b,acc_bf1042661753,ultimate,annual,2025-07-19,2025-08-07,cancelled,False,,,False,0,,2025-07-19
sub_171f29ba97f9,acc_026ef1694661,basic,annual,2025-07-30,2026-07-30,active,True,2025-07-16,2025-07-30,True,0,,2025-07-30
sub_6e0d007826f8,acc_b334d2e455ca,free,free,2025-07-15,,active,True,2025-07-15,2025-07-29,False,0,,2025-07-15
sub_fe9f113e1eb7,acc_aaed032c6418,free,free,2025-06-27,,active,False,,,False,0,,2025-06-27
sub_686957f11c4b,acc_aaed032c6418,basic,annual,2025-08-08,2026-08-08,active,False,,,False,0,,2025-08-08
sub_9fd49c794bb8,acc_9a1ab8ec7a8c,free,free,2025-07-22,,active,False,,,False,0,,2025-07-22
sub_65cfc42f951f,acc_9a1ab8ec7a8c,pro,monthly,2025-08-23,2025-09-22,active,False,,,False,2,,2025-08-23
sub_12b7787add93,acc_9a1ab8ec7a8c,basic,monthly,2025-10-07,2025-11-13,cancelled,False,,,False,0,trial_ended,2025-10-07
sub_5a684f4c8f87,acc_ff10cc0dfe1b,free,free,2025-06-06,,cancelled,True,2025-06-06,2025-06-20,False,0,switching_product,2025-06-06
sub_a8015550871f,acc_777f9e58b515,basic,monthly,2025-07-02,2025-08-01,active,True,2025-06-18,2025-07-02,True,4,,2025-07-02
sub_6f516d1bc169,acc_777f9e58b515,basic,monthly,2025-08-05,2025-09-04,active,False,,,False,2,,2025-08-05
sub_ece64ebc3eba,acc_296492171ae6,free,free,2025-07-12,,active,True,2025-07-12,2025-07-26,False,0,,2025-07-12
sub_ec8ade963a89,acc_296492171ae6,basic,monthly,2025/08/13,2025-09-07,cancelled,False,,,False,0,switching_product,2025-08-13
sub_60a116a74430,acc_296492171ae6,basic,annual,2025-09-22,2026-09-22,active,False,,,False,0,,2025-09-22
sub_b94df80c26bc,acc_daf7de05df93,free,free,2025-06-14,,cancelled,True,2025-06-14,2025-06-28,False,0,trial_ended,2025-06-14
sub_f1a7f52614ba,acc_f454f3d6a2ff,basic,monthly,2025-06-23,2025-07-23,active,True,2025-06-07,2025-06-21,True,4,,2025-06-23
sub_5ead40133b38,acc_55c43d12b4fa,basic,monthly,2025/07/25,2025-08-24,active,True,2025-07-11,2025-07-25,True,3,,2025-07-25
sub_8c1be4461531,acc_d785db7d3383,free,free,2025-06-28,,active,True,2025-06-28,2025-07-12,False,0,,2025-06-28
sub_761756d92300,acc_d785db7d3383,basic,monthly,2025-08-08,2025-09-07,active,False,,,False,2,,2025-08-08
sub_d404047c24b1,acc_d785db7d3383,pro,annual,2025/09/20,2026-09-20,active,False,,,False,0,,2025-09-20
sub_fa6e4bb8e06c,acc_73cce2bef40c,free,free,2025-07-24,,cancelled,True,2025-07-24,2025-08-07,False,0,no_longer_needed,2025-07-24
sub_20c9709291bb,acc_73cce2bef40c,pro,monthly,2025-08-24,2025-09-23,active,False,,,False,2,,2025-08-24
sub_c68814423ef2,acc_6c1a38e666d7,free,FREE,2025/06/28,,active,False,,,False,0,,2025-06-28
sub_274b4601a27a,acc_6c1a38e666d7,pro,monthly,2025-08-01,2025/08/31,active,False,,,False,3,,2025-08-01
sub_c395c5a27f9f,acc_b993749d330d,FREE,free,2025-07-13,,cancelled,True,2025-07-13,2025-07-27,False,0,trial_ended,2025-07-13
sub_e02fda90a851,acc_b993749d330d,basic,annual,2025-08-21,2026-08-21,active,False,,,False,0,,2025-08-21
sub_bc264e06d0c3,acc_9941c503e98f,free,free,2025-07-27,,active,False,,,False,0,,2025-07-27
sub_58f4f6442137,acc_9941c503e98f,pro,monthly,2025-08-29,2025-09-28,active,False,,,False,2,,2025-08-29
sub_959c51550e71,acc_9941c503e98f,Pro,monthly,2025-10-01,2025-10-31,active,False,,,False,0,,2025-10-01
sub_d418a5be15a7,acc_378f8885cee8,free,free,2025-07-16,,active,False,,,False,0,,2025-07-16
sub_b78f472d2cba,acc_378f8885cee8,basic,annual,2025-08-23,2026-08-23,active,False,,,False,0,,2025-08-23
sub_d0f919f1096e,acc_9dcb5126f6ee,free,free,2025-06-23,,active,True,2025-06-23,2025-07-07,False,0,,2025-06-23
sub_353c87b92b42,acc_f94b69bf9d38,pro,monthly,2025-08-01,2025-08-31,active,True,2025-07-18,2025-08-01,True,3,,2025-08-01
sub_84ef769fb406,acc_7e3a7edc8a5b,free,free,2025-06-07,,active,True,2025-06-07,2025-06-21,False,0,,2025-06-07
sub_73c884777160,acc_7e3a7edc8a5b,basic,annual,2025-07-10,2026-07-10,active,False,,,False,0,,2025-07-10
sub_dc543110cb10,acc_32cb3fceb8b2,free,free,2025-07-31,,active,True,2025-07-31,2025-08-14,False,0,,2025-07-31
sub_239fa99f5107,acc_469900777244,free,free,2025-06-17,,active,False,,,False,0,,2025-06-17
sub_629a6317fa1a,acc_469900777244,basic,monthly,2025-07-30,2025-08-29,active,False,,,False,3,,2025-07-30
sub_1a51f2e17315,acc_469900777244,ultimate,annual,2025-09-11,2026-09-11,active,False,,,False,0,,2025-09-11
sub_2e855f5f0549,acc_aaf7a828672c,free,free,2025-06-06,,active,True,2025-06-06,2025-06-20,False,0,,2025-06-06
sub_4fa86150fe68,acc_31de0fc92f1a,basic,annual,2025-08-10,2026-08-10,active,True,2025-07-26,2025-08-09,True,0,,2025-08-10
sub_954373958676,acc_e794ce616a87,free,free,2025-07-13,,cancelled,True,2025-07-13,2025-07-27,False,0,missing_features,2025-07-13
sub_b2bbe269c028,acc_d4180fed7470,free,free,2025-07-16,,cancelled,True,2025-07-16,2025-07-30,False,0,missing_features,2025-07-16
sub_ebd1e0bcc9e7,acc_d4180fed7470,basic,monthly,2025-08-29,2025-09-28,active,False,,,False,2,,2025-08-29
sub_216ca162afe9,acc_d4180fed7470,pro,annual,2025-10-10,2025-10-20,cancelled,False,,,False,0,missing_features,2025-10-10
sub_3179a9ffe257,acc_e334098e15fd,basic,monthly,2025-07-14,2025-09-04,cancelled,True,2025-06-28,2025-07-12,True,0,no_longer_needed,2025-07-14
sub_19aed7ae924e,acc_5add6036a8e0,free,free,2025-07-07,,active,True,2025-07-07,2025-07-21,False,0,,2025-07-07
sub_5ca358f638a1,acc_db8f21f8269a,free,free,2025-07-27,,active,True,2025-07-27,2025-08-10,False,0,,2025/07/27
sub_34ab5286c981,acc_db8f21f8269a,ultimate,annual,2025-08-29,2025-09-26,cancelled,False,,,False,0,trial_ended,2025-08-29
sub_5cc7aa3bf966,acc_db8f21f8269a,basic,monthly,2025-10-10,2025-11-04,cancelled,False,,,False,0,missing_features,2025-10-10
sub_cebc037889a3,acc_2ecb4ad2adf7,basic,monthly,2025-08-04,2025-09-29,cancelled,True,2025-07-19,2025-08-02,True,0,missing_features,2025-08-04
sub_10a65d3a7096,acc_2ecb4ad2adf7,pro,Monthly,2025-10-07,2025-11-06,active,False,,,False,0,,2025-10-07
sub_1d2db56254a0,acc_eabfeec37ed5,pro,monthly,2025-07-12,2025-08-11,active,True,2025-06-28,2025-07-12,True,3,,2025-07-12
sub_0013fb3651d6,acc_1db7bc743e94,Free,free,2025-07-02,,cancelled,True,2025-07-02,2025-07-16,False,0,missing_features,2025-07-02
sub_c1a6af05f2c9,acc_fa49f372ae90,free,free,2025-07-26,,cancelled,True,2025-07-26,2025-08-09,False,0,too_expensive,2025-07-26
sub_efbbd007b31d,acc_db7fdb142891,free,free,2025-06-29,,active,True,2025-06-29,2025-07-13,False,0,,2025-06-29
sub_2e30e785905b,acc_9c82053f58cf,free,free,2025-06-16,,active,False,,,False,0,,2025-06-16
sub_ffbbcd596659,acc_86c2e3a4ae0f,basic,Monthly,2025-08-08,2025-09-07,active,True,2025-07-24,2025-08-07,True,2,,2025-08-08
sub_e4689047f19e,acc_86c2e3a4ae0f,pro,monthly,2025-09-08,2025-10-08,active,False,,,False,1,,2025/09/08
sub_9fe66d7ab701,acc_86c2e3a4ae0f,pro,monthly,2025-10-10,2025-11-09,active,False,,,False,0,,2025-10-10
sub_c591b0769663,acc_c7667194910a,free,free,2025-06-25,,active,False,,,False,0,,2025-06-25
sub_43a53a72c906,acc_c7667194910a,basic,annual,2025-07-27,2026-07-27,active,False,,,False,0,,2025/07/27
sub_fed7597f789f,acc_ad4fba3bec97,free,free,2025-07-03,,active,True,2025-07-03,2025-07-17,False,0,,2025-07-03
sub_d9722defe329,acc_84854552ae78,free,free,2025-06-23,,cancelled,True,2025-06-23,2025-07-07,False,0,no_longer_needed,2025-06-23
sub_1443df6c06b3,acc_84854552ae78,pro,monthly,2025/07/28,2025-08-27,active,False,,,False,3,,2025-07-28
sub_c3d760ddc179,acc_84854552ae78,ultimate,monthly,2025-09-11,2025-10-14,cancelled,False,,,False,0,switching_product,2025-09-11
sub_c1e1476ddcd1,acc_0369e01c25b0,basic,monthly,2025-08-05,2025-09-04,active,True,2025-07-20,2025-08-03,True,2,,2025/08/05
sub_1d306f9531af,acc_a31f71b68d54,free,free,2025-07-02,,active,False,,,False,0,,2025-07-02
sub_6a257ac7865b,acc_e1b6247e003b,free,free,2025-06-10,,active,False,,,False,0,,2025-06-10
sub_53a0507ecf32,acc_8e050ac0f16f,free,free,2025-06-22,,active,True,2025-06-22,2025-07-06,False,0,,2025/06/22
sub_2f18ba23c17c,acc_369e29244f35,free,free,2025-07-14,,active,True,2025-07-14,2025-07-28,False,0,,2025-07-14
sub_7edb60faea9b,acc_369e29244f35,basic,monthly,2025-08-26,2025-09-25,active,False,,,False,2,,2025-08-26
sub_67bda57f63a1,acc_369e29244f35,pro,Annual,2025-10-06,2026-10-06,active,False,,,False,0,,2025-10-06
sub_c0c5f4cf9a7a,acc_8007503f053f,free,free,2025-07-28,,active,False,,,False,0,,2025-07-28
sub_6a886e3f94f8,acc_8007503f053f,basic,monthly,2025-09-10,2025-10-10,active,False,,,False,1,,2025-09-10
sub_ce175b6135d6,acc_8007503f053f,Pro,monthly,2025-10-19,2025-11-18,active,False,,,False,0,,2025-10-19
sub_1a3fbcddbae7,acc_dfbdcb772b07,free,free,2025-06-11,,active,True,2025-06-11,2025-06-25,False,0,,2025-06-11
sub_ed715a3ce1d5,acc_dfbdcb772b07,basic,monthly,2025-07-16,2025-08-15,active,False,,,False,3,,2025-07-16
sub_61c080ae9206,acc_dfbdcb772b07,basic,monthly,2025-08-24,2025-09-23,active,False,,,False,2,,2025-08-24
sub_8cde1200e101,acc_dfbdcb772b07,pro,annual,2025-09-24,2026-09-24,active,False,,,False,0,,2025-09-24
sub_090c7bbc1086,acc_cb686e13538f,free,free,2025-06-17,,cancelled,True,2025-06-17,2025-07-01,False,0,too_expensive,2025-06-17
sub_ca1df274b14c,acc_48aad9f6f01c,free,free,2025-07-11,,active,True,2025-07-11,2025-07-25,False,0,,2025-07-11
sub_897095665f19,acc_d179486e2c68,free,free,2025-06-19,,active,True,2025-06-19,2025-07-03,False,0,,2025-06-19
sub_1d9c4901017d,acc_0fbbf27168f2,free,free,2025-07-09,,active,False,,,False,0,,2025-07-09
sub_ad9b7aeab970,acc_caad88ab379d,free,free,2025-07-14,,cancelled,True,2025-07-14,2025-07-28,False,0,no_longer_needed,2025-07-14
sub_bc4637cd6476,acc_caad88ab379d,basic,annual,2025-08-27,2026-08-27,active,False,,,False,0,,2025-08-27
sub_59057f701748,acc_891a398c5c85,basic,annual,2025-07-10,2026-07-10,active,True,2025-06-24,2025-07-08,True,0,,2025-07-10
sub_6f5a358ae1ce,acc_ab58f0a0f2fd,free,free,2025-07-03,,cancelled,True,2025-07-03,2025-07-17,False,0,no_longer_needed,2025-07-03
sub_20c56938d621,acc_ab58f0a0f2fd,pro,annual,2025-08-10,2025-09-01,cancelled,False,,,False,0,trial_ended,2025-08-10
sub_3125208e9662,acc_ab58f0a0f2fd,pro,monthly,2025-09-10,2025-10-10,active,False,,,False,1,,2025-09-10
sub_b3a1d5261e73,acc_3888c7ac5329,free,free,2025-06-05,,cancelled,True,2025-06-05,2025-06-19,False,0,missing_features,2025-06-05
sub_0f2c69dadf36,acc_2ec3b42b1a24,free,free,2025-06-26,,active,False,,,False,0,,2025-06-26
sub_0ade14b38292,acc_fce5f8d19106,free,free,2025-07-14,,active,False,,,False,0,,2025-07-14
sub_e53e5d7f42d3,acc_fce5f8d19106,basic,annual,2025-08-19,2025/10/08,cancelled,False,,,False,0,switching_product,2025-08-19
sub_1a0448e92192,acc_eeaad06b7b4e,free,free,2025-07-15,,active,True,2025-07-15,2025-07-29,False,0,,2025-07-15
sub_b66e879db556,acc_7f4f5c973899,free,free,2025/06/25,,active,False,,,False,0,,2025-06-25
sub_8f5d0cd3a46e,acc_9d58af3331e8,free,free,2025-07-24,,active,True,2025-07-24,2025-08-07,False,0,,2025-07-24
sub_178f8ecaa84b,acc_513812928037,free,free,2025-07-14,,active,False,,,False,0,,2025-07-14
sub_12a7fdb13d83,acc_b0fd6df611c5,free,free,2025-07-13,,active,False,,,False,0,,2025/07/13
sub_4209b2184f0c,acc_b0fd6df611c5,basic,annual,2025-08-19,2026-08-19,active,False,,,False,0,,2025-08-19
sub_ac9181fef80c,acc_ee8123fe5077,basic,annual,2025-08-02,2026-08-02,active,True,2025-07-19,2025-08-02,True,0,,2025-08-02
sub_74cdb8cbf588,acc_97ac2ca5ac97,free,free,2025-07-05,,cancelled,True,2025-07-05,2025-07-19,False,0,switching_product,2025-07-05
sub_76e866969f2a,acc_79c2c3d8d4fe,free,free,2025-06-17,,active,True,2025-06-17,2025-07-01,False,0,,2025-06-17
sub_e6732a11506a,acc_a2c0529b08e1,free,free,2025-06-15,,active,True,2025-06-15,2025-06-29,False,0,,2025-06-15
sub_75a364e17ed6,acc_9802bb821e1c,free,free,2025-06-26,,active,False,,,False,0,,2025-06-26
sub_32811b69701d,acc_9802bb821e1c,pro,monthly,2025-07-31,2025-08-30,active,False,,,False,3,,2025-07-31
sub_dfce70811a9e,acc_9802bb821e1c,basic,monthly,2025-09-09,2025-10-09,active,False,,,False,1,,2025-09-09
sub_c2b55cbfc2ed,acc_9d88f2109049,free,free,2025-07-11,,cancelled,True,2025-07-11,2025-07-25,False,0,trial_ended,2025-07-11
sub_22dfa7f811ee,acc_e9617df106f5,free,free,2025-07-25,,active,True,2025-07-25,2025-08-08,False,0,,2025-07-25
sub_f61f8ba6ee10,acc_e9617df106f5,ultimate,monthly,2025-09-01,2025-10-01,active,False,,,False,1,,2025-09-01
sub_e78ca3de56f9,acc_45240964ad9e,free,free,2025-06-27,,active,False,,,False,0,,2025-06-27
sub_8d0d34278feb,acc_57be1e09c0d1,basic,monthly,2025-06-22,2025/07/22,active,True,2025-06-06,2025-06-20,True,4,,2025-06-22
sub_010ad4c8ac65,acc_57be1e09c0d1,pro,monthly,2025-08-06,2025-08-21,cancelled,False,,,False,0,no_longer_needed,2025-08-06
sub_d9bea5365d1d,acc_57be1e09c0d1,ultimate,Monthly,2025-09-03,2025/10/03,active,False,,,False,1,,2025-09-03
sub_34432d24d25e,acc_e43a3dba7f8e,free,free,2025-06-23,,active,False,,,False,0,,2025-06-23
sub_ac6b0b0cf8fb,acc_e43a3dba7f8e,ultimate,annual,2025-08-07,2026-08-07,active,False,,,False,0,,2025-08-07
sub_dafe8e80d687,acc_30289d3dbb85,free,free,2025/06/10,,cancelled,True,2025-06-10,2025-06-24,False,0,switching_product,2025-06-10
sub_3447c5fb5c00,acc_30289d3dbb85,pro,annual,2025-07-11,2026-07-11,active,False,,,False,0,,2025-07-11
sub_f7ae9f7d09ab,acc_995dea518df2,basic,monthly,2025-07-22,2025-08-21,active,True,2025-07-06,2025-07-20,True,3,,2025-07-22
sub_ab5f70294e01,acc_995dea518df2,basic,monthly,2025-09-02,2025-10-02,active,False,,,False,1,,2025-09-02
sub_31fb8c0df33b,acc_2ec61fc3c707,free,free,2025-06-20,,active,False,,,False,0,,2025-06-20
sub_1599ea36cc83,acc_2ec61fc3c707,BASIC,annual,2025-07-29,2026-07-29,active,False,,,False,0,,2025-07-29
sub_db14848c8c21,acc_7eaa942024be,free,free,2025-07-04,,cancelled,True,2025-07-04,2025-07-18,False,0,,2025-07-04
sub_ba9bafc1e5e9,acc_b19a335d8904,Free,free,2025-06-10,,cancelled,True,2025-06-10,2025-06-24,False,0,no_longer_needed,2025-06-10
sub_14056644f8e0,acc_b19a335d8904,pro,annual,2025-07-15,2026-07-15,active,False,,,False,0,,2025-07-15
sub_c3f37238e949,acc_50edada350b0,free,free,2025-07-03,,cancelled,True,2025-07-03,2025-07-17,False,0,too_expensive,2025-07-03
sub_c5ce7b27a58f,acc_50edada350b0,pro,monthly,2025-08-07,2025-09-06,active,False,,,False,2,,2025-08-07
sub_bbfb96e2d292,acc_4b6bdb90213f,basic,monthly,2025-06-20,2025-07-20,active,True,2025-06-04,2025-06-18,True,4,,2025-06-20
sub_62286ac8dffe,acc_4b6bdb90213f,ultimate,monthly,2025-08-03,2025-09-02,active,False,,,False,2,,2025/08/03
sub_094bff85c63c,acc_934597c4eb95,free,free,2025-06-09,,active,True,2025-06-09,2025-06-23,False,0,,2025-06-09
