account_id,signup_date,utm_source,utm_campaign,ref,account_type,_sig_parsed
acc_7fc697088851,2025-07-01,facebook,Campaign_C,,normal,2025-07-01
acc_14cac7fa7f87,2025-07-13,referral,Campaign_A,,normal,2025-07-13
acc_b3b8b2f7a237,2025-07-30,facebook,Campaign_F,,agency,2025-07-30
acc_e51b59dd8ef0,2025-07-29,google,Campaign_A,,agency,2025-07-29
acc_a62599a3c8b6,2025/07/30,google,Campaign_C,harrison.com,agency,2025-07-30
acc_8bd5e432c1a1,2025-07-07,referral,Campaign_F,,normal,2025-07-07
acc_9ce4765c95f0,2025-06-30,organic,Campaign_A,,normal,2025-06-30
acc_ae07968e581a,2025-07-07,email,Campaign_A,johnson.com,normal,2025-07-07
acc_8c19352cb057,2025-06-12,facebook,Campaign_F,,normal,2025-06-12
acc_e30ad1e8eef8,2025-07-07,google,Campaign_C,,normal,2025-07-07
acc_6d1a96360b5c,2025-07-27,email,Campaign_D,,normal,2025-07-27
acc_27a89ebb131f,2025-06-30,email,Campaign_C,harris.com,agency,2025-06-30
acc_c980055f5778,2025-07-14,referral,Campaign_A,,normal,2025-07-14
acc_0a8884dec2a8,2025-07-03,facebook,Campaign_A,,normal,2025-07-03
acc_a3dd8ed039e9,2025-07-03,direct,Campaign_C,,normal,2025-07-03
acc_0e5aa15b1501,2025-06-26,organic,,,normal,2025-06-26
acc_dd52a9bff5d5,2025-06-05,,Campaign_C,holland.info,normal,2025-06-05
acc_b45f16d9f216,2025-06-25,direct,Campaign_F,,normal,2025-06-25
acc_6d8bf7e91eeb,2025-06-12,referral,Campaign_A,sanchez-arnold.biz,agency,2025-06-12
acc_9c6b027bf0df,2025/06/28,referral,Campaign_A,,agency,2025-06-28
acc_a554bc62be12,2025-07-13,direct,Campaign_F,,normal,2025-07-13
acc_dc4d9151e5de,2025-07-26,google,Campaign_A,adams.org,normal,2025-07-26
acc_ad3917f1a43b,2025-06-15,email,Campaign_D,,agency,2025-06-15
acc_077a34b969e5,2025/06/27,organic,Campaign_D,,normal,2025-06-27
acc_83a987bd1341,2025-06-23,email,Campaign_E,,normal,2025-06-23
acc_c2da7f56a0b5,2025-07-25,facebook,Campaign_E,,agency,2025-07-25
acc_65d279d5e5e2,2025-06-16,organic,Campaign_D,,normal,2025-06-16
acc_0f50155844f7,2025-07-14,referral,Campaign_E,mcneil-sparks.com,normal,2025-07-14
acc_3919319a6d45,2025-06-22,organic,Campaign_A,,agency,2025-06-22
acc_da712ee7bade,2025-07-09,email,Campaign_F,,normal,2025-07-09
acc_18c45c9edcae,2025/07/03,direct,Campaign_E,,normal,2025-07-03
acc_d5462926273d,2025-07-26,facebook,Campaign_A,thomas.com,normal,2025-07-26
acc_8230d3e42af5,2025-07-07,facebook,Campaign_D,harrington-baker.org,agency,2025-07-07
acc_931d5eebd8e5,2025-06-11,email,Campaign_A,sanders.net,normal,2025-06-11
acc_c1c8cd462d5f,2025/06/03,google,Campaign_D,finley-sims.info,normal,2025-06-03
acc_eb3ef3808f9d,2025-07-03,direct,Campaign_D,,normal,2025-07-03
acc_7c7f1042d0a6,2025-06-02,referral,Campaign_C,,normal,2025-06-02
acc_7b4543e0836a,2025-07-29,google,Campaign_A,,normal,2025-07-29
acc_57156ea808b8,2025/06/30,referral,Campaign_D,,agency,2025-06-30
acc_7aea71c56749,2025-06-26,direct,Campaign_C,,agency,2025-06-26
acc_3f607c0b6ea8,2025-07-25,google,Campaign_F,,normal,2025-07-25
acc_2bc8183aa630,2025-07-14,organic,Campaign_D,,agency,2025-07-14
acc_62908fadf098,2025-07-16,direct,Campaign_B,allen.info,normal,2025-07-16
acc_eac3471c2593,2025-07-18,facebook,Campaign_D,,normal,2025-07-18
acc_3a41ee648597,2025-07-09,referral,,,agency,2025-07-09
acc_d32f2c3e1426,2025-07-31,direct,Campaign_D,,normal,2025-07-31
acc_ae925e71e0ea,2025-06-10,direct,Campaign_D,,normal,2025-06-10
acc_b7e02695496b,2025-06-18,google,Campaign_A,,normal,2025-06-18
acc_50a98cff4cca,2025-07-09,organic,Campaign_A,phillips.biz,normal,2025-07-09
acc_7448bcdab6e1,2025-07-04,facebook,Campaign_A,,normal,2025-07-04
acc_991034875664,2025/07/21,google,Campaign_F,,normal,2025-07-21
acc_b239dfdec3d1,2025-06-26,organic,Campaign_C,,agency,2025-06-26
acc_24d1b53a13b2,2025-06-20,organic,Campaign_D,,normal,2025-06-20
acc_18f24ecabe53,2025-07-07,facebook,Campaign_B,davis.info,normal,2025-07-07
acc_46d6afd67deb,2025-07-20,,Campaign_E,riley.com,agency,2025-07-20
acc_d156e56a3daf,2025-07-21,direct,Campaign_A,,normal,2025-07-21
acc_43c31133c461,2025-07-09,direct,Campaign_C,,normal,2025-07-09
acc_29f7d2434b88,2025-07-22,referral,Campaign_F,,normal,2025-07-22
acc_95b6e3257d65,2025-07-12,email,Campaign_F,,normal,2025-07-12
acc_9d552ce86809,2025-07-06,referral,Campaign_A,,normal,2025-07-06
acc_24fdac78fc09,2025-07-01,google,Campaign_F,ramsey.net,normal,2025-07-01
acc_2df015194abe,2025/07/04,direct,Campaign_A,,normal,2025-07-04
acc_790f337b9371,2025-06-22,email,Campaign_E,,normal,2025-06-22
acc_4de361adf82a,2025-06-30,facebook,Campaign_D,,normal,2025-06-30
acc_9afd0e41eebf,2025-06-28,,Campaign_A,johnson-henson.net,normal,2025-06-28
acc_b73eea2b4d4c,2025-06-24,organic,Campaign_A,herman-walker.com,normal,2025-06-24
acc_039e4a655a7c,2025-06-08,organic,Campaign_C,colon.biz,agency,2025-06-08
acc_37356e2e23aa,2025-06-21,google,Campaign_A,,normal,2025-06-21
acc_084d729ccf3f,2025-07-02,email,Campaign_F,,normal,2025-07-02
acc_5d4970e7be88,2025-07-10,google,Campaign_F,,normal,2025-07-10
acc_b5433978def5,2025-07-02,direct,Campaign_C,matthews-barber.biz,NORMAL,2025-07-02
acc_2e9329ec0a5b,2025-06-11,direct,Campaign_E,,normal,2025-06-11
acc_9a8f6efbf0db,2025-07-05,google,Campaign_C,vaughn.info,normal,2025-07-05
acc_bf2c518eefea,2025-06-03,direct,Campaign_E,,agency,2025-06-03
acc_19c7ddf28c28,2025-07-15,organic,Campaign_D,richardson.com,agency,2025-07-15
acc_4fc06676455c,2025-07-05,organic,Campaign_A,,agency,2025-07-05
acc_7ed8b19fe801,2025-07-23,google,,,normal,2025-07-23
acc_f01359ec3477,2025-06-10,email,Campaign_A,,normal,2025-06-10
acc_4dac057c5b23,2025-06-05,email,Campaign_E,,agency,2025-06-05
acc_fc74a75ab3a3,2025-07-08,google,Campaign_E,,normal,2025-07-08
acc_7a3c74234c47,2025-06-26,facebook,Campaign_E,,normal,2025-06-26
acc_9d42ba11ed62,2025-07-21,organic,Campaign_E,garrison-thomas.com,normal,2025-07-21
acc_1e8cfb3ce652,2025-06-30,google,Campaign_C,king.com,normal,2025-06-30
acc_4f2da8a549dd,2025-06-06,email,Campaign_A,,normal,2025-06-06
acc_af8549f6f78c,2025/06/28,email,Campaign_A,,normal,2025-06-28
acc_e20c525d44a8,2025-06-22,google,Campaign_C,,normal,2025-06-22
acc_39a9a746a91e,2025/07/27,organic,Campaign_E,palmer-rodriguez.net,normal,2025-07-27
acc_aec210d14c2b,2025-07-12,facebook,Campaign_E,,normal,2025-07-12
acc_63aa3af96aa1,2025-06-07,facebook,Campaign_D,,normal,2025-06-07
acc_167428c5c082,2025-07-06,referral,Campaign_D,boone-simmons.com,normal,2025-07-06
acc_0025abc4820e,2025-07-03,facebook,Campaign_B,joseph-wallace.com,normal,2025-07-03
acc_5244983f1239,2025-07-09,google,Campaign_F,,agency,2025-07-09
acc_1d6b5b38079c,2025-07-14,facebook,,,NORMAL,2025-07-14
acc_73ae3c158993,2025-06-26,referral,Campaign_E,,normal,2025-06-26
acc_5af474263dd4,2025-06-06,organic,Campaign_F,,normal,2025-06-06
acc_a702b469dbb8,2025-07-12,google,Campaign_C,,agency,2025-07-12
acc_072ba2f1ace3,2025-06-04,organic,,,normal,2025-06-04
acc_fa71b99f06c1,2025-07-04,email,Campaign_C,edwards-scott.com,normal,2025-07-04
acc_7168ff56abaa,2025-06-28,organic,Campaign_B,,normal,2025-06-28
acc_e464bc469efb,2025-06-11,organic,Campaign_E,,NORMAL,2025-06-11
acc_46bde5a46aa2,2025-07-01,organic,Campaign_A,,agency,2025-07-01
acc_1b5447ea2888,2025-06-21,facebook,Campaign_E,,normal,2025-06-21
acc_a927fb6908d7,2025-07-22,referral,Campaign_F,,agency,2025-07-22
acc_1f936dad2ee8,2025-06-01,organic,Campaign_D,,normal,2025-06-01
acc_cf69912a79c5,2025-06-13,email,,,normal,2025-06-13
acc_a16dfe42ee98,2025-07-27,google,Campaign_A,perez.org,normal,2025-07-27
acc_c3e081bfebc3,2025-07-02,google,,,agency,2025-07-02
acc_ac0bd1d10d4f,2025-06-30,email,Campaign_A,,normal,2025-06-30
acc_e2d7d0bacbf2,2025-06-16,organic,Campaign_B,bell-white.com,normal,2025-06-16
acc_b4b78d3c8773,2025-06-13,facebook,Campaign_D,,normal,2025-06-13
acc_97ffbdd70648,2025/06/14,direct,Campaign_B,,agency,2025-06-14
acc_dbc7cfd18296,2025-07-24,organic,Campaign_E,,normal,2025-07-24
acc_a5e459be4d67,2025-07-31,direct,Campaign_D,,normal,2025-07-31
acc_2351bbea760a,2025-07-20,facebook,Campaign_E,,normal,2025-07-20
acc_251f3f849915,2025-06-02,google,Campaign_D,miller.org,agency,2025-06-02
acc_b65b58593b2a,2025-06-04,facebook,Campaign_C,,normal,2025-06-04
acc_0453e3fa9eed,2025-06-18,organic,Campaign_A,,normal,2025-06-18
acc_c74035ad3178,2025/06/06,organic,Campaign_C,,agency,2025-06-06
acc_2618955f2b06,2025-06-25,email,Campaign_C,,normal,2025-06-25
acc_d13abc453bcd,2025-06-15,google,Campaign_E,,normal,2025-06-15
acc_97afcd3e22f8,2025-06-07,facebook,Campaign_B,,agency,2025-06-07
acc_2bcd395121ac,2025-07-22,direct,Campaign_E,,agency,2025-07-22
acc_53b631963176,2025-06-02,email,Campaign_F,,agency,2025-06-02
acc_bcf00f164a72,2025-06-20,facebook,Campaign_A,,normal,2025-06-20
acc_8852b309b95d,2025-06-09,organic,Campaign_F,,normal,2025-06-09
acc_cce07cac9218,2025-07-25,referral,Campaign_F,,normal,2025-07-25
acc_95fd217c1250,2025-06-11,email,Campaign_E,,agency,2025-06-11
acc_0e955d1c7259,2025-07-21,organic,Campaign_D,,normal,2025-07-21
acc_7c4a29862860,2025-07-31,referral,,,agency,2025-07-31
acc_4028b3467b4c,2025-07-07,google,Campaign_A,maxwell-jones.com,normal,2025-07-07
acc_57d58ca1624d,2025-07-16,email,Campaign_F,,normal,2025-07-16
acc_3032aeb60229,2025-06-01,google,Campaign_E,,normal,2025-06-01
acc_b258037a1528,2025-07-01,referral,Campaign_D,morrison.com,normal,2025-07-01
acc_0fd9fc121812,2025-06-05,organic,Campaign_C,bean.info,normal,2025-06-05
acc_f574185cbe0c,2025-07-01,,Campaign_F,,normal,2025-07-01
acc_ebcbace2540f,2025-07-15,referral,Campaign_E,,normal,2025-07-15
acc_8726462a2527,2025-06-10,google,Campaign_C,,NORMAL,2025-06-10
acc_8f2edef0eff9,2025-06-06,direct,Campaign_B,,normal,2025-06-06
acc_ff94dc1a1d08,2025-07-27,direct,Campaign_C,,normal,2025-07-27
acc_fb2d05a40b2b,2025-07-13,google,Campaign_B,,normal,2025-07-13
acc_20f47323b304,2025/06/27,referral,Campaign_F,,normal,2025-06-27
acc_0162cafa5335,2025-07-07,referral,Campaign_D,wheeler.com,normal,2025-07-07
acc_61b81e0477e3,2025-07-22,facebook,Campaign_C,stout-armstrong.com,normal,2025-07-22
acc_5c759b37ac73,2025-07-29,email,Campaign_A,,normal,2025-07-29
acc_b195277d2f75,2025-07-21,email,Campaign_C,,normal,2025-07-21
