invoice_id	subscription_id	account_id	invoice_date	amount	currency	status	tax_amount
inv_90d6dce12641	sub_6f516d1bc169	acc_777f9e58b515	2025-10-05	9.81	USD	paid	0.6
inv_72dab962d4d5	sub_ec8ade963a89	acc_296492171ae6	2025-08-15	9.46	EUR	paid	1.51
inv_64923af77779	sub_ec8ade963a89	acc_296492171ae6	2025-09-14	9.07	EUR	failed	0.12
inv_34750504b7b1	sub_ec8ade963a89	acc_296492171ae6	2025-10-14	9.33	EUR	failed	1.77
inv_3c113beba55e	sub_60a116a74430	acc_296492171ae6	2025-09-23	99.67	USD	paid	11.8
inv_aed17b9b333c	sub_f1a7f52614ba	acc_f454f3d6a2ff	2025-06-24	9.33	EUR	paid	0.32
inv_1b0d6efa7f33	sub_f1a7f52614ba	acc_f454f3d6a2ff	2025-07-24	9.19	EUR	paid	1.56
inv_5c1b5c5e5f11	sub_f1a7f52614ba	acc_f454f3d6a2ff	2025-08-22	9.37	EUR	paid	1.34
inv_c4e908b8e45c	sub_f1a7f52614ba	acc_f454f3d6a2ff	2025-09-21	9.17	EUR	paid	0.58
inv_b0b72112341b	sub_f1a7f52614ba	acc_f454f3d6a2ff	2025-10-22	9.57	EUR	paid	0.89
inv_f970da5f894a	sub_5ead40133b38	acc_55c43d12b4fa	2025-07-26	7.83	GBP	paid	0.32
inv_5b3045a36e22	sub_5ead40133b38	acc_55c43d12b4fa	2025-08-25	7.85	GBP	paid	0.45
inv_892301b9c97a	sub_5ead40133b38	acc_55c43d12b4fa	2025-09-23	7.67	GBP	paid	0.84
inv_0f7fd1a6b7ec	sub_5ead40133b38	acc_55c43d12b4fa	2025-10-25	7.69	GBP	paid	1.45
inv_837d35190fdb	sub_761756d92300	acc_d785db7d3383	2025-08-08	9.21	EUR	paid	1.43
inv_dd61ea6fa11b	sub_761756d92300	acc_d785db7d3383	2025-09-07	9.32	EUR	paid	1.61
inv_7d6ba2149150	sub_761756d92300	acc_d785db7d3383	2025-10-09	9.49	EUR	paid	1.41
inv_31b8bcd50d3c	sub_d404047c24b1	acc_d785db7d3383	2025-09-21	21224.43	INR	paid	1051.98
inv_294462c428eb	sub_20c9709291bb	acc_73cce2bef40c	2025-08-24	19.24	GBP	paid	1.95
inv_68806e983667	sub_20c9709291bb	acc_73cce2bef40c	2025-09-24	20.26	GBP	paid	3.81
inv_09e7bc92d7ea	sub_20c9709291bb	acc_73cce2bef40c	2025-10-24	19.9	GBP	paid	3.39
inv_03a02893aa10	sub_274b4601a27a	acc_6c1a38e666d7	2025-08-03	23.23	EUR	paid	0.09
inv_fc75c37f2e26	sub_274b4601a27a	acc_6c1a38e666d7	2025-09-02	23.76	EUR	paid	1.61
inv_1b327377705f	sub_274b4601a27a	acc_6c1a38e666d7	2025-10-01	23.42	EUR	paid	2.7
inv_54b42b11b7df	sub_274b4601a27a	acc_6c1a38e666d7	2025-10-30	23.4	EUR	paid	1.85
inv_fb9973633eda	sub_e02fda90a851	acc_b993749d330d	2025-08-22	92.06	EUR	paid	15.26
inv_5c8d0cbbc551	sub_58f4f6442137	acc_9941c503e98f	2025-08-31	23.23	EUR	paid	2.18
inv_f72d26c61bd8	sub_58f4f6442137	acc_9941c503e98f	2025-09-29	23.92	EUR	paid	4.14
inv_2b5a6a4938d5	sub_58f4f6442137	acc_9941c503e98f	2025-10-28	22.85	EUR	paid	3.32
inv_86fd03af6280	sub_959c51550e71	acc_9941c503e98f	2025-10-03	22.71	EUR	failed	1.48
inv_c3bfdabcf97e	sub_b78f472d2cba	acc_378f8885cee8	2025-08-24	101.19	USD	paid	10.36
inv_088963ffde68	sub_353c87b92b42	acc_f94b69bf9d38	2025-08-01	23.5	EUR	paid	1.26
inv_57287b2b5f7c	sub_353c87b92b42	acc_f94b69bf9d38	2025-09-02	22.85	EUR	paid	4.21
inv_689c09ca25de	sub_353c87b92b42	acc_f94b69bf9d38	2025-10-02	23.82	EUR	paid	2.83
inv_1ad3abd13140	sub_73c884777160	acc_7e3a7edc8a5b	2025-07-11	91.15	EUR	paid	6.17
inv_228023846221	sub_629a6317fa1a	acc_469900777244	2025-07-30	7.88	GBP	paid	1.1
inv_7547d03b70c2	sub_629a6317fa1a	acc_469900777244	2025-08-29	8.13	GBP	paid	1.55
inv_1d5faf38630a	sub_629a6317fa1a	acc_469900777244	2025-09-30	7.94	GBP	paid	0.37
inv_b5f5ffbfc368	sub_629a6317fa1a	acc_469900777244	2025-10-28	8.06	GBP	paid	0.77
inv_d94ef41082da	sub_1a51f2e17315	acc_469900777244	2025-09-11	548.88	USD	paid	51.4
inv_1a9beb1f6667	sub_4fa86150fe68	acc_31de0fc92f1a	2025-08-12	8575.09	INR	paid	115.4
inv_5920ed15594d	sub_ebd1e0bcc9e7	acc_d4180fed7470	2025-08-30	10.22	USD	paid	1.42
inv_22fff189a2a2	sub_ebd1e0bcc9e7	acc_d4180fed7470	2025-09-30	9.89	USD	paid	1.91
inv_abe98542e412	sub_ebd1e0bcc9e7	acc_d4180fed7470	2025-10-28	10.21	USD	paid	0.67
inv_b69324141b34	sub_216ca162afe9	acc_d4180fed7470	2025-10-11	255.95	USD	paid	35.82
inv_f2addcc44bb6	sub_3179a9ffe257	acc_e334098e15fd	2025-07-15	9.4	EUR	paid	1.47
inv_1841de8c896e	sub_3179a9ffe257	acc_e334098e15fd	2025-08-13	9.15	EUR	failed	1.36
inv_f15cf2aaccb7	sub_3179a9ffe257	acc_e334098e15fd	2025-09-14	9.33	EUR	paid	1.84
inv_ed78e657fb84	sub_3179a9ffe257	acc_e334098e15fd	2025-10-14	9.15	EUR	paid	0.67
inv_0fccf5cea30e	sub_34ab5286c981	acc_db8f21f8269a	2025-08-31	560.57	USD	paid	44.65
inv_8ddf9f6249bf	sub_5cc7aa3bf966	acc_db8f21f8269a	2025-10-11	9.88	USD	paid	1.92
inv_3286a4878367	sub_cebc037889a3	acc_2ecb4ad2adf7	2025-08-04	9.26	EUR	paid	0.66
inv_25dc370677d8	sub_cebc037889a3	acc_2ecb4ad2adf7	2025-09-04	9.48	EUR	paid	1.56
inv_c8d53c0d594f	sub_cebc037889a3	acc_2ecb4ad2adf7	2025-10-05	9.1	EUR	refunded	0.51
inv_23ed37814224	sub_10a65d3a7096	acc_2ecb4ad2adf7	2025-10-08	24.62	USD	paid	4.04
inv_db7583af455c	sub_1d2db56254a0	acc_eabfeec37ed5	2025-07-13	24.49	USD	paid	0.19
inv_7d48cb53d17f	sub_1d2db56254a0	acc_eabfeec37ed5	2025-08-13	24.31	USD	paid	1.72
inv_29a036009afc	sub_1d2db56254a0	acc_eabfeec37ed5	2025-09-12	24.62	USD	paid	3.21
inv_7ead451676d7	sub_1d2db56254a0	acc_eabfeec37ed5	2025-10-11	24.69	USD	paid	1.2
inv_6a20ae66ecae	sub_ffbbcd596659	acc_86c2e3a4ae0f	2025-08-10	7.86	GBP	paid	0.27
inv_5e2d29468d5f	sub_ffbbcd596659	acc_86c2e3a4ae0f	2025-09-09	7.81	GBP	paid	0.54
inv_84ff2794c1b2	sub_ffbbcd596659	acc_86c2e3a4ae0f	2025-10-09	7.75	GBP	paid	1.2
inv_e4dbdc9b384c	sub_e4689047f19e	acc_86c2e3a4ae0f	2025-09-08	2036.0	INR	paid	245.87
inv_fc046ff5311e	sub_e4689047f19e	acc_86c2e3a4ae0f	2025-10-10	2119.31	INR	paid	141.53
inv_b47c7c64e60b	sub_9fe66d7ab701	acc_86c2e3a4ae0f	2025-10-10	23.87	EUR	paid	3.67
inv_1e55cb22b037	sub_43a53a72c906	acc_c7667194910a	2025-07-27	97.64	USD	paid	13.38
inv_fb65ce7d9473	sub_1443df6c06b3	acc_84854552ae78	2025-07-29	20.03	GBP	paid	1.09
inv_c614eb662b5f	sub_1443df6c06b3	acc_84854552ae78	2025-08-27	20.22	GBP	paid	0.66
inv_7947eaaa135e	sub_1443df6c06b3	acc_84854552ae78	2025-09-27	20.11	GBP	paid	2.1
inv_ad50b66d26d3	sub_1443df6c06b3	acc_84854552ae78	2025-10-27	19.51	GBP	paid	2.92
inv_9a524a538c5d	sub_c3d760ddc179	acc_84854552ae78	2025-09-12	55.19	USD	paid	8.38
inv_8019c988c5b8	sub_c3d760ddc179	acc_84854552ae78	2025-10-12	56.46	USD	paid	10.64
inv_7dc72367c86c	sub_c1e1476ddcd1	acc_0369e01c25b0	2025-08-07	9.21	EUR	paid	0.35
inv_374414463b5d	sub_c1e1476ddcd1	acc_0369e01c25b0	2025-09-05	9.45	EUR	paid	0.63
inv_5e773ab8b4b5	sub_c1e1476ddcd1	acc_0369e01c25b0	2025-10-06	9.32	EUR	paid	1.58
inv_7aaf622154d7	sub_7edb60faea9b	acc_369e29244f35	2025-08-26	9.55	EUR	paid	1.22
inv_9cf59df3fd35	sub_7edb60faea9b	acc_369e29244f35	2025-09-27	9.32	EUR	paid	0.87
inv_7397def4fba5	sub_7edb60faea9b	acc_369e29244f35	2025-10-26	9.39	EUR	paid	1.43
inv_dd2b6797b542	sub_67bda57f63a1	acc_369e29244f35	2025-10-08	239.04	EUR	paid	7.42
inv_f9a1b1efb2e5	sub_6a886e3f94f8	acc_8007503f053f	2025-09-10	10.27	USD	paid	0.6
inv_a0dcefa52340	sub_6a886e3f94f8	acc_8007503f053f	2025-10-10	10.1	USD	paid	1.68
inv_08a372e1cc26	sub_ce175b6135d6	acc_8007503f053f	2025-10-21	24.73	USD	paid	4.6
inv_8068f25f6a0e	sub_ed715a3ce1d5	acc_dfbdcb772b07	2025-07-17	9.17	EUR	paid	1.22
inv_950ac0fefb6e	sub_ed715a3ce1d5	acc_dfbdcb772b07	2025-08-16	9.51	EUR	paid	0.34
inv_7a7506a48025	sub_ed715a3ce1d5	acc_dfbdcb772b07	2025-09-14	9.05	EUR	paid	0.17
inv_b3f06f5decd4	sub_ed715a3ce1d5	acc_dfbdcb772b07	2025-10-15	9.09	EUR	paid	0.97
inv_e18eb82553eb	sub_61c080ae9206	acc_dfbdcb772b07	2025-08-25	859.32	INR	paid	76.36
inv_01508f5bc5ab	sub_61c080ae9206	acc_dfbdcb772b07	2025-09-23	833.28	INR	paid	0.56
inv_3e3be1755e99	sub_61c080ae9206	acc_dfbdcb772b07	2025-10-25	848.95	INR	failed	168.14
inv_a655d6d14eb1	sub_8cde1200e101	acc_dfbdcb772b07	2025-09-26	235.67	EUR	paid	25.48
inv_b8d77f63915e	sub_bc4637cd6476	acc_caad88ab379d	2025-08-27	99.17	USD	paid	11.13
inv_e861bca3be3e	sub_59057f701748	acc_891a398c5c85	2025-07-11	91.05	EUR	paid	14.06
inv_83334c99ee22	sub_20c56938d621	acc_ab58f0a0f2fd	2025-08-12	257.16	USD	paid	5.06
inv_9927495ecafa	sub_3125208e9662	acc_ab58f0a0f2fd	2025-09-12	24.9	USD	failed	2.39
inv_ca1bbd1f954e	sub_3125208e9662	acc_ab58f0a0f2fd	2025-10-12	25.61	USD	paid	2.05
inv_5b9bb2137af7	sub_e53e5d7f42d3	acc_fce5f8d19106	2025-08-21	102.65	USD	paid	7.18
inv_8d5a82c5a031	sub_4209b2184f0c	acc_b0fd6df611c5	2025-08-19	93.54	EUR	paid	1.07
inv_8c7b63a363c0	sub_ac9181fef80c	acc_ee8123fe5077	2025-08-02	100.55	USD	paid	14.9
inv_6ecb68099dfe	sub_32811b69701d	acc_9802bb821e1c	2025-08-02	24.66	USD	paid	4.34
inv_789030f70e2f	sub_32811b69701d	acc_9802bb821e1c	2025-08-30	24.93	USD	paid	0.68
inv_626184bc5f98	sub_32811b69701d	acc_9802bb821e1c	2025-10-01	24.89	USD	paid	0.08
inv_67d2103c59d8	sub_dfce70811a9e	acc_9802bb821e1c	2025-09-09	10.21	USD	paid	1.01
inv_8067eacc369a	sub_dfce70811a9e	acc_9802bb821e1c	2025-10-10	9.75	USD	paid	0.11
inv_c47840ecec39	sub_f61f8ba6ee10	acc_e9617df106f5	2025-09-01	54.09	USD	paid	2.86
inv_6d72d0a5630d	sub_f61f8ba6ee10	acc_e9617df106f5	2025-10-01	55.89	USD	paid	6.4
inv_550c4caa987d	sub_8d0d34278feb	acc_57be1e09c0d1	2025-06-24	10.11	USD	paid	1.58
inv_0d66ac91e7d4	sub_8d0d34278feb	acc_57be1e09c0d1	2025-07-22	10.01	USD	paid	0.78
inv_663319e66afd	sub_8d0d34278feb	acc_57be1e09c0d1	2025-08-23	9.98	USD	paid	0.55
inv_1a199ee1de2b	sub_8d0d34278feb	acc_57be1e09c0d1	2025-09-22	10.13	USD	paid	0.14
inv_c7269647c53b	sub_8d0d34278feb	acc_57be1e09c0d1	2025-10-22	9.84	USD	paid	0.06
inv_df1831197a7c	sub_010ad4c8ac65	acc_57be1e09c0d1	2025-08-08	22.87	EUR	paid	3.79
inv_fdbbdf926880	sub_010ad4c8ac65	acc_57be1e09c0d1	2025-09-06	23.27	EUR	paid	4.06
inv_d84b1a09613e	sub_010ad4c8ac65	acc_57be1e09c0d1	2025-10-05	23.16	EUR	paid	4.09
inv_571499aec0fc	sub_d9bea5365d1d	acc_57be1e09c0d1	2025-09-05	43.88	GBP	paid	3.62
inv_0be6c932fc62	sub_d9bea5365d1d	acc_57be1e09c0d1	2025-10-03	42.8	GBP	paid	8.33
inv_5ac09384bb65	sub_ac6b0b0cf8fb	acc_e43a3dba7f8e	2025-08-09	534.26	USD	paid	67.6
inv_8c3398ef3ba0	sub_3447c5fb5c00	acc_30289d3dbb85	2025-07-13	191.65	GBP	paid	3.38
inv_7a4a7c136bea	sub_f7ae9f7d09ab	acc_995dea518df2	2025-07-24	9.74	USD	paid	1.27
inv_abaede28b23b	sub_f7ae9f7d09ab	acc_995dea518df2	2025-08-22	9.96	USD	paid	1.78
inv_9f6f00bc7fcd	sub_f7ae9f7d09ab	acc_995dea518df2	2025-09-22	9.92	USD	paid	1.75
inv_bd8f8fde9a94	sub_f7ae9f7d09ab	acc_995dea518df2	2025-10-21	9.9	USD	paid	1.02
inv_c66030f556ff	sub_ab5f70294e01	acc_995dea518df2	2025-09-02	10.07	USD	paid	0.54
inv_2d2c2545df52	sub_ab5f70294e01	acc_995dea518df2	2025-10-04	9.92	USD	paid	0.63
inv_583b6e11620a	sub_1599ea36cc83	acc_2ec61fc3c707	2025-07-30	8588.94	INR	paid	1333.39
inv_54107ad75efc	sub_14056644f8e0	acc_b19a335d8904	2025-07-16	255.06	USD	paid	36.85
inv_78e999027f57	sub_c5ce7b27a58f	acc_50edada350b0	2025-08-07	24.26	USD	paid	4.77
inv_70e9a238e4b1	sub_c5ce7b27a58f	acc_50edada350b0	2025-09-08	25.55	USD	paid	1.78
inv_9a791864df1b	sub_c5ce7b27a58f	acc_50edada350b0	2025-10-08	25.58	USD	paid	0.8
inv_1130efd1293b	sub_bbfb96e2d292	acc_4b6bdb90213f	2025-06-22	8.07	GBP	paid	0.68
inv_b0ae2d715645	sub_bbfb96e2d292	acc_4b6bdb90213f	2025-07-21	8.04	GBP	paid	0.76
inv_fcbc19730407	sub_bbfb96e2d292	acc_4b6bdb90213f	2025-08-20	7.82	GBP	paid	0.7
inv_c195be21d93c	sub_bbfb96e2d292	acc_4b6bdb90213f	2025-09-19	7.9	GBP	paid	0.87
inv_0411f03bb4ec	sub_bbfb96e2d292	acc_4b6bdb90213f	2025-10-19	7.85	GBP	failed	1.36
inv_5a80c8bfecfa	sub_62286ac8dffe	acc_4b6bdb90213f	2025-08-04	49.72	EUR	paid	5.12
inv_f4ca475fbcde	sub_62286ac8dffe	acc_4b6bdb90213f	2025-09-03	52.65	EUR	paid	3.89
inv_7e60932c9e05	sub_62286ac8dffe	acc_4b6bdb90213f	2025-10-04	49.73	EUR	paid	2.68
inv_f254ba6ad13f	sub_dfbb97be27d1	acc_934597c4eb95	2025-07-18	46192.39	INR	paid	6706.85
